Ide Produk,Niche,Target Audiens,Masalah Audiens,Solusi Produk,Format,Estimasi Harga,Tingkat Kesulitan,Potensi Jual,Status Eksekusi,Catatan
Mini pack affiliate skincare #1,affiliate skincare,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Mudah,Bagus untuk pemula,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan template Canva #2,jualan template Canva,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Mudah,Bagus untuk bundle,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack produk digital ibu rumah tangga #3,produk digital ibu rumah tangga,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Sedang,Bagus untuk upsell,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack konten Threads #4,konten Threads,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Mudah,Bagus untuk pemula,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack seller pemula #5,seller pemula,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Mudah,Bagus untuk bundle,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack budgeting #6,budgeting,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Sedang,Bagus untuk upsell,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack self improvement #7,self improvement,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Mudah,Bagus untuk pemula,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan dari HP #8,jualan dari HP,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Mudah,Bagus untuk bundle,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack UMKM kecil #9,UMKM kecil,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Sedang,Bagus untuk upsell,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack creator TikTok #10,creator TikTok,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Mudah,Bagus untuk pemula,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack affiliate skincare #11,affiliate skincare,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Mudah,Bagus untuk bundle,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan template Canva #12,jualan template Canva,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Sedang,Bagus untuk upsell,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack produk digital ibu rumah tangga #13,produk digital ibu rumah tangga,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Mudah,Bagus untuk pemula,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack konten Threads #14,konten Threads,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Mudah,Bagus untuk bundle,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack seller pemula #15,seller pemula,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Sedang,Bagus untuk upsell,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack budgeting #16,budgeting,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Mudah,Bagus untuk pemula,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack self improvement #17,self improvement,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Mudah,Bagus untuk bundle,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan dari HP #18,jualan dari HP,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Sedang,Bagus untuk upsell,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack UMKM kecil #19,UMKM kecil,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Mudah,Bagus untuk pemula,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack creator TikTok #20,creator TikTok,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Mudah,Bagus untuk bundle,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack affiliate skincare #21,affiliate skincare,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Sedang,Bagus untuk upsell,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan template Canva #22,jualan template Canva,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Mudah,Bagus untuk pemula,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack produk digital ibu rumah tangga #23,produk digital ibu rumah tangga,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Mudah,Bagus untuk bundle,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack konten Threads #24,konten Threads,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Sedang,Bagus untuk upsell,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack seller pemula #25,seller pemula,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Mudah,Bagus untuk pemula,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack budgeting #26,budgeting,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",PDF,19000,Mudah,Bagus untuk bundle,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack self improvement #27,self improvement,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Notion,29000,Sedang,Bagus untuk upsell,Draft,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack jualan dari HP #28,jualan dari HP,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Canva,39000,Mudah,Bagus untuk pemula,Siap dibuat,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack UMKM kecil #29,UMKM kecil,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Spreadsheet,49000,Mudah,Bagus untuk bundle,Backlog,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
Mini pack creator TikTok #30,creator TikTok,Pemula yang butuh contoh siap pakai,"Mau mulai tapi bingung format, isi, dan langkah pertama","Template ringkas dengan checklist, contoh, dan prompt",Prompt pack,59000,Sedang,Bagus untuk upsell,Validasi,"Bisa dibuat dari HP pakai Canva, Notion, dan Google Docs"
