Nama Produk,Kategori,Format Produk,Status,Harga Normal,Harga Promo,Link File,Link Jualan,Target Pembeli,Masalah yang Diselesaikan,Benefit Utama,Bonus,Lisensi,Tanggal Upload,Catatan
E-book Cara Mulai Produk Digital dari HP,Template,Notion,Draft,39000,29000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-01,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Template Caption Affiliate,Prompt Pack,Canva,Siap upload,49000,39000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-02,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Hook Viral Threads,Dashboard,Google Sheet,Live,79000,59000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-03,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Digital Product Seller Dashboard,Bundle,Video mini,Ide,99000,79000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-04,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Canva Template Pack,E-book,PDF,Draft,29000,19000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-05,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Prompt AI untuk Jualan,Template,Notion,Siap upload,39000,29000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-06,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Shopee Affiliate Starter Kit,Prompt Pack,Canva,Live,49000,39000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-07,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Content Calendar 30 Hari,Dashboard,Google Sheet,Ide,79000,59000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-08,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Money Tracker Seller,Bundle,Video mini,Draft,99000,79000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-09,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Mini Course Produk Digital,E-book,PDF,Siap upload,29000,19000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-10,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Checklist Launching Produk,Template,Notion,Live,39000,29000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-11,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Paket Ide Konten TikTok,Prompt Pack,Canva,Ide,49000,39000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-12,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Template Bio & CTA,Dashboard,Google Sheet,Draft,79000,59000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-13,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Template Deskripsi Lynk ID,Bundle,Video mini,Siap upload,99000,79000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-14,"Mulai dari versi simpel, update setelah ada feedback pembeli"
Bundle Produk Digital Pemula,E-book,PDF,Live,29000,19000,https://drive.google.com/isi-link-file,https://lynk.id/username/produk,Pemula yang mau jualan dari HP,"Bingung mulai, tidak punya bahan promosi, dan belum punya sistem rapi","Lebih cepat setup produk, konten, dan tracking jualan","Checklist, prompt AI, dan contoh caption",Personal use / bisa dijual ulang sesuai paket lisensi,2026-06-15,"Mulai dari versi simpel, update setelah ada feedback pembeli"
