Nama Prompt,Kategori,Prompt,Output yang Diharapkan,Cocok untuk,Catatan
Prompt Riset Produk Digital #1,riset produk digital,"Bantu saya membuat riset produk digital untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Hook #2,bikin hook,"Bantu saya membuat bikin hook untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Caption #3,bikin caption,"Bantu saya membuat bikin caption untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Cta #4,bikin CTA,"Bantu saya membuat bikin CTA untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Deskripsi Produk #5,deskripsi produk,"Bantu saya membuat deskripsi produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bonus Produk #6,bonus produk,"Bantu saya membuat bonus produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Ide Konten #7,ide konten,"Bantu saya membuat ide konten untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Validasi Niche #8,validasi niche,"Bantu saya membuat validasi niche untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Landing Page Copy #9,landing page copy,"Bantu saya membuat landing page copy untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Utas Threads #10,utas Threads,"Bantu saya membuat utas Threads untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Riset Produk Digital #11,riset produk digital,"Bantu saya membuat riset produk digital untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Hook #12,bikin hook,"Bantu saya membuat bikin hook untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Caption #13,bikin caption,"Bantu saya membuat bikin caption untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Cta #14,bikin CTA,"Bantu saya membuat bikin CTA untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Deskripsi Produk #15,deskripsi produk,"Bantu saya membuat deskripsi produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bonus Produk #16,bonus produk,"Bantu saya membuat bonus produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Ide Konten #17,ide konten,"Bantu saya membuat ide konten untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Validasi Niche #18,validasi niche,"Bantu saya membuat validasi niche untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Landing Page Copy #19,landing page copy,"Bantu saya membuat landing page copy untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Utas Threads #20,utas Threads,"Bantu saya membuat utas Threads untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Riset Produk Digital #21,riset produk digital,"Bantu saya membuat riset produk digital untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Hook #22,bikin hook,"Bantu saya membuat bikin hook untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Caption #23,bikin caption,"Bantu saya membuat bikin caption untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Cta #24,bikin CTA,"Bantu saya membuat bikin CTA untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Deskripsi Produk #25,deskripsi produk,"Bantu saya membuat deskripsi produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bonus Produk #26,bonus produk,"Bantu saya membuat bonus produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Ide Konten #27,ide konten,"Bantu saya membuat ide konten untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Validasi Niche #28,validasi niche,"Bantu saya membuat validasi niche untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Landing Page Copy #29,landing page copy,"Bantu saya membuat landing page copy untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Utas Threads #30,utas Threads,"Bantu saya membuat utas Threads untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Riset Produk Digital #31,riset produk digital,"Bantu saya membuat riset produk digital untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Hook #32,bikin hook,"Bantu saya membuat bikin hook untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Caption #33,bikin caption,"Bantu saya membuat bikin caption untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Cta #34,bikin CTA,"Bantu saya membuat bikin CTA untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Deskripsi Produk #35,deskripsi produk,"Bantu saya membuat deskripsi produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bonus Produk #36,bonus produk,"Bantu saya membuat bonus produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Ide Konten #37,ide konten,"Bantu saya membuat ide konten untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Validasi Niche #38,validasi niche,"Bantu saya membuat validasi niche untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Landing Page Copy #39,landing page copy,"Bantu saya membuat landing page copy untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Utas Threads #40,utas Threads,"Bantu saya membuat utas Threads untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Riset Produk Digital #41,riset produk digital,"Bantu saya membuat riset produk digital untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Hook #42,bikin hook,"Bantu saya membuat bikin hook untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Caption #43,bikin caption,"Bantu saya membuat bikin caption untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bikin Cta #44,bikin CTA,"Bantu saya membuat bikin CTA untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Deskripsi Produk #45,deskripsi produk,"Bantu saya membuat deskripsi produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Bonus Produk #46,bonus produk,"Bantu saya membuat bonus produk untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Ide Konten #47,ide konten,"Bantu saya membuat ide konten untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Validasi Niche #48,validasi niche,"Bantu saya membuat validasi niche untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Landing Page Copy #49,landing page copy,"Bantu saya membuat landing page copy untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
Prompt Utas Threads #50,utas Threads,"Bantu saya membuat utas Threads untuk target audiens pemula yang ingin jualan dari HP. Produk/tema: [isi tema]. Buat hasil yang praktis, santai, dan bisa langsung dipakai. Berikan 5 opsi dengan alasan singkat.",Daftar ide/copy siap pakai + catatan penggunaan,"Produk digital, affiliate, Threads, TikTok, Instagram",Ganti bagian [isi tema] sesuai kebutuhan
